filename,psnr_bicubic,psnr_swinir,psnr_gain,ssim_bicubic,ssim_swinir
0414.png,24.454059034535046,6.499680971372326,-17.95437806316272,0.7358436612591968,0.009709420303687847
0390.png,22.276891581635745,8.818641004474939,-13.458250577160806,0.657688699003926,0.01639062048304279
0205.png,24.385097354151448,8.6056979926624,-15.779399361489048,0.6484892918608701,0.015499933504442042
0614.png,22.22575041163867,6.571165545218957,-15.654584866419714,0.7051559956617771,0.009974007588562232
0184.png,23.59061814267671,8.536778522220933,-15.053839620455777,0.7842413775886027,0.015316046573296563
0236.png,27.088750254322132,7.713677603658679,-19.375072650663455,0.7736431065045695,0.016479096211887777
0255.png,25.535499376348337,4.6108912399635695,-20.92460813638477,0.8213587853143878,0.008326972594790545
0137.png,23.182474508264672,7.08710105701547,-16.095373451249202,0.8413154587214056,0.015078179205610517
0779.png,22.698764910170887,11.065167101913856,-11.633597808257031,0.5108275973521609,0.017929042056866216
0089.png,31.399733934919464,10.238365481257414,-21.16136845366205,0.8357344431539494,0.019545775404099946
0258.png,24.102891767531098,7.471454159702753,-16.631437607828346,0.5568850131318434,0.009919419120264868
0747.png,21.742997554120716,11.33499480912911,-10.408002744991606,0.6918240381485083,0.012537250770296701
0393.png,24.285667773596202,6.529697093813841,-17.75597067978236,0.7008921894802308,0.013320672124044341
0544.png,30.814583379197238,10.370854839750308,-20.44372853944693,0.846830087921846,0.01953578590064858
0701.png,19.44336540693875,6.8654888773768565,-12.577876529561893,0.5687581725917344,0.00935602015451885
0718.png,23.29399547837021,8.526661777586655,-14.767333700783555,0.6218846213643775,0.01797369928514088
0552.png,29.740059130977162,5.306073645500509,-24.433985485476654,0.8598670905513565,0.008428257693323383
0092.png,20.654668042627954,5.649021755656749,-15.005646286971205,0.5318595777957338,0.009618795620254639
0639.png,19.61763259204337,7.64771128377579,-11.969921308267581,0.4496873826180157,0.01135321149256116
0502.png,20.64004265063129,5.406129759155615,-15.233912891475676,0.5616321958369571,0.007698265428247852
